title,u-time,content
"Why the message of Christmas is needed, especially now",,"The Rev. Thomas Rosica: During the past months, who has not felt deeply the darkness and gloom of our world?He says we've seen tyranny and injustice committed in the name of religionHe says Jews, Christians, Muslims and people of good will of other religions are united against violence "
Republican debate: CNN's Reality Check Team reviews claims,,The Republican candidates for president gathered in Houston It was their last debate before Super Tuesday CNN teams selected key statements and rated how true they were
Is Abbas trying to ride wave of violence?,,"Aaron David Miller: Recent attacks in Israel are changing the rhythm of life in capitalAbbas may find himself weakened at home and abroad by terror attacks, Miller writes
  "
Palestinian artist Alaa Minawi wants to help Angela Merkel by auctioning his latest piece,,
Community center to open one year after UNC Chapel Hill shooting,,"The center is in honor of Deah Barakat, his new wife, and sisterThe victims, all Muslim, were shot and killed last yearTheir families say the gunman had threatened the victims before, and they believe the shootings were a hate crime"
Prisoners to Texas mom: Guards ignored pleas for help in son's asthma death,,"Mom: Son accepted consequences of his actions, was content to serve 12 yearsCurtis Garland had asthma attack on a muggy day in 2014 in a prison without air conditioningMother says she thought asthma behind son's death until she got letters from prisoners"
"Obama: My take on Putin, Netanyahu, ISIS",,"Secretary of State John Kerry felt ""f**ked over"" after President Obama opted to cancel military strikes against Syrian regimeAllies blame Obama for Syria, Obama blames allies for Libya ""sh** show.""
      President Barack Obama defended his decision not to intervene militarily in Syria’s civil war in an interview published Thursday detailing internal clashes among high-level U.S. officials. 
  "
"Hearts, minds of youth key to beating ISIS",,"Gordon Brown: Thousands of refugee children are vulnerable to child traffickers and extremist ideologuesWest must present vision that shows Islam and other religions can co-exist peacefully, he says
  "
What to watch for on 'The Final Five' Monday night,,"CNN's forum Monday gives Donald Trump an opportunity to rebut those efforts to stop him in front of a national audience After five wins last week, Hillary Clinton is signaling again that she's turning her focus to Trump
  “The Final Five,” hosted by CNN and aired from 8 to 11 p.m. ET.
"
"Anti-Defamation League sends $56,000 in Trump contributions to anti-bias efforts",,"The Anti-Defamation League is diverting $56,000 in Donald Trump's contributions to anti-bias effortsThe organization blasted Trump's Republican presidential campaign in a statement Sunday
      The Anti-Defamation League, blasting “stereotyping and scapegoating” on the campaign trail, is redirecting Donald Trump’s contributions to anti-bias and anti-bullying programs.
  "
Donald Trump tries to prove his Israel bona fides,,"Hillary Clinton on Monday attacked Republican front-runner Donald Trump during her AIPAC speechClinton also addressed her plans to enforce the Iran nuclear deal
      Donald Trump sought to put himself squarely on Israel’s side Monday despite earlier pledges to be “neutral” in the Israeli-Palestinian conflict as president.
  "
Sanders prods Israeli leaders in speech,,"Bernie Sanders prodded Israeli leaders over their treatment of Palestinians in a speech MondaySanders skipped the AIPAC conference in Washington, instead delivering his speech in Utah
      Bernie Sanders criticized Israel’s treatment of Palestinians, condemning the expansion of West Bank settlements and blasting Prime Minister Benjamin Netanyahu’s withholding of tax dollars from Palestinian authorities, in a speech Monday in Utah. 
  "
"Saudi, Iranian football teams to play at neutral venues amid tensions",,"Iranian, Saudi teams to meet in neutral venues as diplomatic issues remain unresolvedSix group stage matches will be affected
      Teams from Saudi Arabia and Iran will meet in neutral venues for AFC Champions League clashes, having failed to resolve their political differences ahead of a deadline set by Asian football’s governing body.
  "
ISIS leader purportedly tells fighters: 'You are on the right path',,"An audio message appears on ISIS-affiliated social media claiming to be from Abu Bakr al-Baghdadi.The message says, ""Soldiers of the Islamic State be patient because you are on the right path""The recording is released as Iraq's military says it is gaining more ground in fight against ISIS"
Sanders accuses Israel of 'disproportionate' response in Gaza,,"""Was Israel's response disproportionate? I think it was,"" Sanders said""Of course we are going to support Israel, but you cannot ignore the needs of the Palestinian people,"" he added
      Vermont Sen. Bernie Sanders – the "
Anti-Semitism thriving in Europe,,"Former Israeli ambassador to U.S. says anti-Semitism is thriving in EuropeDecision to label goods Judea, Samaria and the Golan Heights hurt not help Palestinians, he says
  "
Sanders: Clinton 'condescending' to young voters,,"Sanders is hitting Clinton over her belief that young people who link her to the fossil fuel industry ""haven't done their research""The Vermont senator's comments came during an interview with CNN's Jake Tapper
      Bernie Sanders is hitting Hillary Clinton over her belief that young people who link her to the fossil fuel industry “haven’t done their research,” saying it’s “condescending” to young voters.
  "
Palestinian boy to meet his Real Madrid heroes,,"Five-year-old Palestinian boy  Ahmed Dawabsheh will be flown to MadridHe suffered burns in a firebombing that killed the rest of his family
      His life has been a nightmare, but now little Ahmed Dawabsheh is ready to live out a dream.
  "
No bond for the bishop; Lyle Jeffs of FLDS stays behind bars,,"Lyle Jeffs, FLDS bishop, is charged with 10 others in welfare fraud scheme Jeffs' lawyers asked for ankle monitor, house arrest in Provo, Utah U.S. judge said no, citing leadership position, past attempts to hide fugitive prophet"
Turkish President Erdogan: Solidarity is key to defeating terrorism,,"The Organization of Islamic Cooperation summit begins Thursday in IstanbulErdogan: Muslims around the world must raise their voices against all forms of oppression 
  "
Ilana Dayan: Netanyahu-military rift could be a 'game-changer',,"
  Editor’s Note: The Axe Files, featuring David Axelrod, is a podcast distributed by CNN and produced at the University of Chicago Institute of Politics. The author works at the institute. 
"
The perils of ignoring Holocaust history,,"On Holocaust Remembrance Day, Deborah Lipstadt calls Livingstone linking Hitler to Zionism ""ludicrous"""
Democratic platform fights to watch in Philadelphia,,"Bernie Sanders and his supporters are expected to fight for control of the Democratic Party's platform this summerThe DNC's platform-drafting committee meets in Washington on Wednesday and Thursday 
      Hillary Clinton is the presumptive Democratic nominee, but the party’s civil war is set to continue at the Democratic Convention in Philadelphia as Bernie Sanders and his supporters fight for control of the platform – the party’s statement of its values and beliefs.
  "
"Draft GOP platform calls for 'America first' trade policy, drops call for marriage amendment",,"Draft GOP platform drops previous calls for amendment defining marriage as between a man and a womanAdopts strong language on trade similar to that used by Donald Trump
      A first draft of the document that will become the GOP platform at this year’s Republican convention sticks to Donald Trump’s tough talk on trade, but leaves the long-time party position opposing abortion rights relatively unchanged.
  "
Hard-liner takes new post as Israel defense minister,,"Liberman's party, the right-wing Yisrael Beiteinu, joins the coalition governmentNetanyahu's coalition now includes all of the right-wing parties and excludes the left-wing partiesLiberman, is an immigrant from the former Soviet Union who lives in a West Bank settlement"
Last chance for Never Trump: What to watch for this week in Cleveland,,"The Rules Committee will help determine the fate of the anti-Trump movement at the Republican ConventionTrump opponents face long odds
      Republican Party leaders, donors and important delegates will flock to Cleveland this week for a series of meetings and negotiations that will determine whether or not Donald Trump can be stopped.
  "
"Texas flooding kills woman, 4 grandchildren",,"NEW: Son says woman was trying to get through the high water but couldn't physically make itNEW: Body of a sixth person, from separate incident, found Saturday Two planes were damaged by winds at Austin-Bergstrom International Airport"
GOP moves to the right on Israel,,"
      A push to move the GOP to the right on Israel scored a preliminary victory Monday in Cleveland.
  
      Delegates drafting the Republican National Convention platform approved removing language encouraging a two-state solution for Israelis and Palestinians.
  
      An earlier draft had included support for “two democratic states” – the policy of recent Republican and Democratic administrations – but had removed a reference to Palestine included in the GOP platform four years ago.
  "
"Decades after war, churches near Jesus' baptism site to be cleared of mines",,
Dispute ruptures between U.N.'s Ban Ki Moon and Saudi Arabia,,"Ban says he had to take Saudis off a black list due to threats to UN program fundingSaudis deny allegations, say they were the ones who were bullied
      A diplomatic fight, usually kept behind closed doors, exploded in public Thursday as U.N. Secretary-General Ban Ki-Moon accused Saudi Arabia and its military allies of placing “undue pressure” on the international organization. 
  "
Is bin Laden's son being groomed for key al Qaeda role?,,"
      One of Osama bin Laden’s sons could be expanding his role as a terrorist spokesman, with al Qaeda this week releasing another video that features his voice.
  
      On Monday, an audio recording surfaced in which Hamza bin Laden calls for unity among jihadi militants in Syria, who currently fight under competing banners ranging from ISIS to al Qaeda. He also calls for jihad against Israel and its American backers to “liberate” Palestine, according to a translation by the SITE Intelligence Group"
"No, Israel isn't being held to 'a different standard'",,"Amer Zahr: No countries locate their international embassy in JerusalemRefusal of other nations to recognize Israeli sovereignty over Jerusalem is not holding it to different standard, he says
  "
Israel's Shimon Peres hospitalized after stroke,,"NEW: Former Israeli prime minister does not need surgery, office says"
US lauds state sponsor of terrorism ... for fighting terrorism,,"US State Department commends Sudan for counterterror efforts against ISIS and other groupsThe State Department designated Sudan a state sponsor of terror in 1993
      The State Department welcomed Sudan’s efforts to counter ISIS and other terrorist groups Tuesday despite the fact that Sudan has been designated a state sponsor of terrorism for more than 20 years.
  "
Not just ISIS: Terror groups worldwide jockey for power,,"Al-Nusra Front changes its name to Jabhat Fateh Al-Sham and splits from al QaedaAnalyst: Al Qaeda is weaker than ISIS, but is more focused on attacking the United States
      As world powers struggle to fight ISIS, other terror groups are trying to make their mark – one deadly attack at a time.
  "
Oxfam: Poorest nations shouldering responsibility for world's refugees,,"Oxfam: Poor countries are shouldering duty of protecting refugeesNations that host over 50% of world's refugees account for under 2% world's GDP
      The world’s six wealthiest countries host less than 9% of the world’s refugees, according to a new Oxfam report.
  "
"Israeli-American girl, 13, fatally stabbed in West Bank home, authorities say",,"
      A 13-year-old Israeli-American girl was stabbed to death in her bedroom Thursday morning in the West Bank settlement of Kiryat Arba, a spokesman for the Israel Defense Forces said.
  
      Hallel Yaffa Ariel was sleeping when a Palestinian teenager entered the house in the settlement near Hebron and killed her, authorities said.
  
      “Just like any teenager on summer holiday, my daughter was asleep, calm, relaxed. A terrorist murderer came and murdered her in her bed,” her mother, Rena Ariel, told Israel’s Channel 2. 
  "
Obama at Netanyahu meeting: 'He is always very candid with us',,"Obama has taken steps toward solidifying the alliance with Israel this month His meeting with Netanyahu was likely to be their last face-to-face consultations 
      President Barack Obama confronted one of his most strained foreign partnerships Wednesday during a final meeting with Israeli Prime Minister Benjamin Netanyahu, the pair making a last attempt at patching up their stormy bond before Obama leaves office.
  "
"Shimon Peres: 'Some improvement,' responsiveness after stroke, doctors say",,"Israeli Health Minister Yaakov Litzman says he is more optimistic about Peres' conditionFormer Israeli Prime Minister Shimon Peres suffered stroke on Tuesday
      Former Israeli President and Prime Minister Shimon Peres’ condition has improved somewhat a day after his stroke, and he was able to shake his son-in-law’s hand as physicians reduced his level of sedation, doctors said Wednesday.
  "
"Obama mourns Shimon Peres, and a bygone Israel",,"Peres represented a dependable voice for friendship for ObamaTo both men's disappointment, Israeli-Palestinian peace remained elusive
      When President Barack Obama visited Jerusalem in 2013, Shimon Peres, then 89 years old and in his fifth decade of public life, might have been expected to forgo the tour of high-tech innovations at the Israel Museum.
  "
US: Israel broke its word on new settlements,,"The White and State Department with unusually harsh criticismUS officials question the timing - after a massive military aid package given to Israel
      The United States issued an unusually strong rebuke Wednesday of Israel’s plan to build new housing tracts in the West Bank.
  "
Ahmad Rahami's lifelong feud with family and identity,,"Interviews with family and friends paint a tumultuous picture of an immigrant family's struggle""For a lot of families, there is tension ... for him it was his father,"" a friend says of bombing suspect Ahmad Rahami
      Before he was known as a bombing suspect, Ahmad Rahami was a struggling foreign-born Afghan-American straddling two disparate worlds that would ultimately collide.
  "
Shimon Peres: Israel's warrior for peace dies,,"Peres was awarded the Nobel Peace Prize in 1994 with Yitzhak Rabin and Yasser Arafat""Peace is costly,"" Peres once said. ""Only thing is, war costs more""
      Shimon Peres, the Israeli elder statesman who shared a Nobel Prize for forging a peace deal between Israelis and Palestinians, has died. He served as a constant force for generations in Israeli politics. 
  "
"NY, NJ bombings: What we learned from the complaint against Rahami",,"The complaint against Rahami describes the Chelsea bombs' impactIt details information in a journal found on Rahami when he was captured
      The complaint against "
Israel suspends ties with UNESCO in spat over Jerusalem holy site,,"Draft decision by UNESCO body refers to Jerusalem holy site only by Muslim nameIsraeli leader says decision is like saying ""Egypt has no connection to the Pyramids""
      Israel has suspended ties with UNESCO, the UN body in charge of preserving culture and history, after a draft decision that Israel says ignores Judaism’s ties to the religion’s holiest site. 
  "
Can Peres' vision survive his death?,,"Frida Ghitis: Despite his poor performance at the polls, Shimon Peres became a beloved national figureBut many fear that what Peres stood for may die with him, Ghitis writes
  "
Netanyahu and Abbas shake hands at Shimon Peres funeral,,"Abbas' presence a ""reminder of the unfinished business of peace,"" Obama saysNetanyahu tells members of Palestinian delegation he appreciates their attendance
      Israeli Prime Minister Benjamin Netanyahu and Palestinian Authority President Mahmoud Abbas shook hands Friday before the funeral of Israeli statesman Shimon Peres.
  "
What's at stake in US-Israeli row over settlements,,"Israel says new housing units do not constitute a ""new settlement""White House spokesman suggests the Israelis broke their word on the issue
      The White House has "
"Jimmy Carter to Obama: Before you leave office, recognize Palestinian state",,"
      Former President Jimmy Carter is calling on the Obama administration to recognize Palestinian statehood before leaving office January 20.
  
      Carter, who is strong proponent for Palestinian rights and a two-state solution between Israelis and Palestinians, praised the Obama administration in a New York Times op-ed out Monday "
"Team Trump, don't repeat Nixon's mistake",,"Tim Naftali: Trump team should note unique risk of Nixon's instabilityAdvisers often disagree, even erratic presidents act independently, he says 
  "
10 requests from liberals to Obama before he leaves office,,"Liberals have a wish list of things for Obama, including pardons for Edward Snowden and Hillary Clinton
      President-elect Donald Trump has threatened to undo President Barack Obama’s legacy once he takes office on January 20, 2017. However, with just over a month left before Obama leaves the White House, liberals are putting in some last minute requests for the outgoing commander-in-chief. 
  
      While many of Obama’s critics have highlighted the use of executive orders as an overreach, many of his supporters on the left are urging him to use his final days in office to take action. 
  "
"Why to some, Fidel Castro embodied hope",,"Antoon: For many in the world, especially the global south, he will be a potent symbol for courage and steadfastness
  Editor’s Note: "
"Earliest known stone version of Ten Commandments sold for $850,000",,
"After 8 years of Obama, Trump is breath of fresh air in Gulf states",,"Abbas: If Trump is serious about defeating extremism, he'll have no better partner than Gulf statesGulf region blames Obama for Iran nuclear deal and his U-turn on US intervention in Syria, Abbas says
  "
"Rep. Keith Ellison faces renewed scrutiny over past ties to Nation of Islam, defense of anti-Semitic figures",,"Rep. Keith Ellison's past ties to the Nation of Islam are resurfacing as he campaigns for DNC chair. A spokesperson for Ellison told CNN that Ellison ""rejects all forms of anti-Semitism."" 
      Rep. Keith Ellison’s past ties to the Nation of Islam and his defense of its anti-Semitic leader, Louis Farrakhan, are resurfacing as he campaigns to lead the Democratic National Committee. 
  "
Huckabee visits West Bank: 'Build Israel Great Again',,"
      Standing in front of a bright red banner reading “Build Israel Great Again,” former Republican presidential candidate Mike Huckabee promised Tuesday during an appearance in the West Bank that President-elect Donald Trump’s policies toward Israel would be very different than President Barack Obama’s.
  
      Huckabee was in Maale Adumim to lay the cornerstone for a new neighborhood in one of the largest Israeli settlements in the West Bank, just east of Jerusalem. The former Arkansas governor and strong supporter of Israel held a hat with the same catchphrase, and said he would bring one to Trump, whose campaign slogan “Make America Great Again” was the inspiration for the Maale Adumim banner.
  
      Huckabee told CNN that he rejected the use of the word “settlements.” 
  "
7 million-piece mosaic uncovered in Jericho after 80 years,,
Nobel Peace Prize awarded to Colombian President Juan Manuel Santos,,"Colombian president wins prize less than a week after peace deal rejectedHad spent years negotiating deal with FARC rebels before it went to public vote
      The 2016 Nobel Peace Prize has been awarded to Colombian President Juan Manuel Santos for his efforts to end his country’s long-running civil war with FARC rebels.
  "
Why Carter is wrong on State of Palestine,,"Aaron Miller: Jimmy Carter's call for US to recognize the State of Palestine is a mistakeKey to solving the Israel-Palestinian conflict does not rest in President Obama's hands, nor in those of his successor, he says
  "
"Veteran, 89, posts ad looking for job to save him 'dying of boredom'",,"Veteran, 89, seeks work to save him from 'dying of boredom'Joe Bartley has been offered two jobs since posting the advertisement 
      When 89-year-old war veteran Joe Bartley placed an advertisement in his local paper in South Devon, England, last month looking for work he wasn’t expecting much.
  "
PLO vows to revoke Israel recognition if US moves embassy,,"Trump pledged during his presidential campaign to move the US EmbassyWhite House says no decisions yet
      The Palestine Liberation Organization will revoke its recognition of Israel if President Donald Trump moves the American Embassy in Israel from Tel Aviv to Jerusalem, the PLO’s chief negotiator tells CNN’s "
"Clare Hollingworth, reporter who broke news of WWII, dies at 105",,"Telegraph reporter's career took her throughout Europe, Africa and AsiaShe died Tuesday at age 105 in Hong Kong
      Clare Hollingworth, who was the first to break the news that World War II had started, died Tuesday at the age of 105.
  "
Is Trump steering Israel toward diplomatic disaster?,,"Zaha Hassan: Trump's pick of David Friedman to serve as US ambassador to Israel imperils two-state solutionThe fate of Israelis and Palestinians could come down to President Obama's actions in his last days in office, she writes 
  "
Obama administration was hypocritical on UN's Israeli settlements vote,,"Mark Goldfeder says the US was hypocritical in abstaining on the UN resolution, which he says wrongly branded the settlements as illegal under international lawPresident Obama has explained in the past why such a resolution will only harm prospects for peace, Goldfeder writes
  "
Where Donald Trump and Benjamin Netanyahu stand on the key issues,,"Netanyahu set to visit White House on February 15Settlements, Iran deal and Syria likely to be on agenda
      “Tomorrow’s world will be different – and it is very near.”   
  "
Palestinian embassy opens in Vatican City,,"Palestinian president, Pope Francis meet at VaticanPalestinians open state embassy in Vatican City
      Pope Francis and Palestinian President Mahmoud Abbas met Saturday to open a Palestinian embassy in Vatican City.
  "
Dear Mr President: welcome to the real world,,"Andelman: Trump risks providing the perfect message for the leaders of China and RussiaThe US could lose the new Cold War before it's even started
  "
Israel's parliament passes West Bank outposts bill,,"
      Israel’s parliament passed legislation Monday that aims to legalize about 3,000 housing units built on private Palestinian land in the West Bank. 
  
      The so-called “Regularization Law"
What Trump's two-state solution rollback means,,"
      US President Donald Trump has casually dumped five decades of US policy on the Israeli-Palestinian conflict, saying he won’t insist on a two-state solution and that he would simply “like the one that both parties like.”
  "
"Trump Israel envoy pick: Israel has 'as much right, if not a much greater right' as Palestinians to West Bank",,"""We're taking the view that the Israelis have just as much right, if not a much greater right, to Judea and Samaria as the Palestinians,"" Friedman said. ""That, I think, is frankly a unique position of Donald Trump, and one which we're very proud of,"" he added. 
      Donald Trump’s nominee to be ambassador to Israel, David Friedman, said in a radio interview right before the election that he believed Israelis had just as much a right, if not a greater right, as the Palestinians to control the West Bank.
  "
Israel backs away from Jerusalem settlement vote,,"NEW: New Zealand issues statement after Netanyahu threatened diplomatic warOfficial: Prime Minister Netanyahu asked for Wednesday's vote to be canceled
      Israel stepped back from approving hundreds of new homes in East Jerusalem on Wednesday, ahead of a speech by US Secretary of State John Kerry on "
"CNN 10 - February 21, 2017",,"This page includes the show Transcript
      February 21, 2017"
"CNN 10 - February 16, 2017",,"This page includes the show Transcript
      February 21, 2017"
Israeli soldier gets 18 months over shooting of wounded Palestinian assailant,,"Azaria also given 12-month probation and demoted to privateIsraeli soldier convicted of manslaughter last month
      Sgt. Elor Azaria, the Israeli soldier convicted of manslaughter in the fatal shooting of a wounded Palestinian assailant, was sentenced to 18 months in military prison Tuesday.
  "
Abbas: Palestinians will work with Trump for two-state solution,,"Abbas urges two-state solutionWarns against US embassy in Jerusalem
      Palestinian President Mahmoud Abbas reaffirmed his commitment to a two-state solution and emphasized his willingness to work with US President Donald Trump to achieve peace between Palestinians and Israelis.
  "
Israel denies work permit for Human Rights Watch director,,"HRW says work permit application for its Israel and Palestine director rejectedIsrael explains decision by saying group has a ""hostile agenda""
      Israel has rejected a work permit application for Human Rights Watch’s Israel and Palestine director on the grounds the organization “engaged in politics in the service of Palestinian propaganda.”
  "
"Congressman tours possible embassy sites in Jerusalem, confident Trump will move embassy",,"President Donald Trump has repeatedly promised to move the US embassy in Israel to Jerusalem The President must review whether to move the embassy every six months per Congress
      Rep. Ron DeSantis told reporters Sunday he is confident President Donald Trump will move the United States Embassy from Tel Aviv to Jerusalem. 
  "
Israeli soldier's 'lenient' sentence criticized by UN Commissioner,,"Sgt. Elor Azaria was sentenced to 18 months in a military prison for manslaughter of Abdel Fattah al-SharifThe case has divided public opinion in Israel
      Israel has been criticized by the UN High Commissioner for Human Rights for the “excessively lenient” sentence handed down to a soldier convicted of manslaughter in the fatal shooting of a wounded Palestinian assailant.
  "
Convicted terrorist admits she lied to become US citizen,,"Rasmieh Odeh, now 69, was found guilty by Israel in 1970 for her role in two bombings She eventually became a US citizen and will now be deported
      A Chicago-area resident who participated in two terror attacks in Israel in 1969 pleaded guilty Tuesday to having illegally obtained her American citizenship. 
  "
Pence to pro-Israel group: US 'giving serious consideration' to embassy move,,"The Vice President spoke at the annual AIPAC meetingAdministration seeks ""equitable and just solution to the Israeli-Palestinian conflict""
      Speaking to thousands of pro-Israel activists, Vice President Mike Pence said the United States is still considering moving the US Embassy in Israel – an action expected to be met with strong opposition in the Arab world.
  "
Banksy's boutique art hotel opens its doors in Bethlehem,,
Israel's travel ban: Boycott supporters to be turned away,,"Israel passes law against boycott supportersCritics label new law as ""desperate""
      As President Donald Trump signed his "
Trump treads carefully between Israelis and Palestinians,,"Israelis and Palestinians highlighted their key issues with each otherBut Trump did not take bait from either side
      If the Israelis or Palestinians were looking for a political victory from President Donald Trump’s first visit to the region, both were left wanting.
  "
"Congrats, America. You're now in the 1% of the world's countries that have pulled out of the Paris deal.",,"
      President Donald Trump announced, as expected, Thursday afternoon that the United States would be pulling out of the Paris accords on climate change.  
  "
Don't be fooled by Hamas' rebranding -- they're still committed to anti-Semitism,,"Hamas hopes changes will make it more palatable for Western anti-Israel groups in Europe and America to support themBut group still calls for the ""liberation of Palestine, from the river to the sea,"" which is poetic code for ""the destruction of Israel""
  "
"Hamas says it accepts '67 borders, but doesn't recognize Israel",,"Hamas began work on the document four years agoDocument draws a strong rebuke from Israel 
      The Palestinian militant group Hamas unveiled a new policy document Monday that sees the group accepting for the first time the idea of a Palestinian state that would fall within the borders that existed in 1967, before Israel took control of the West Bank, Gaza and all of Jerusalem.
  "
Ann Coulter controversy tests Berkeley's free speech credentials,,"Many UC Berkeley students say they support Ann Coulter's right to speak on campus, even if they disagree with herProfessor: ""If you're so psychologically weak the expression of ideas is going to traumatize you, you shouldn't be at a university""
      Judging from the talk about the University of California, Berkeley lately, you’d think the campus was filled with hypersensitive snowflakes covering their ears to block out ideas they don’t like. 
  "
America's half century of failure in the Middle East,,"At 50th anniversary of the Six Day War, a US president is seeking to broker peace between Israel and the PalestiniansAaron David Miller: While the US role can be important, achieving Israeli-Palestinian accord depends more on its respective leaders
  "
What Israelis and Palestinians expect from Trump's visit,,"Palestinians at a Bethlehem-Jerusalem checkpoint view visit with skepticism In Israeli resort of Haifa, travelers wonder if US understands region enough to help secure peace
      When US President Donald Trump travels from Jerusalem to Bethlehem on Tuesday for the final leg of his fact-finding mission to the Middle East, you can be sure he won’t be taking the bus.
  "
Indian Prime Minister makes historic visit to Israel,,"Narendra Modi arrived in Tel Aviv TuesdayVisit marks 25 years of diplomatic relations between the two nations
      Narendra Modi has become the first Indian Prime Minister to visit Israel, arriving in Tel Aviv on Tuesday as part of a three-day visit to mark 25 years of diplomatic relations between the two nations.
  "
Travel makes us happy: Here's why,,
What the Qatar crisis means for Hamas,,"Hamas spokesman says group hasn't been asked to leave QatarQatar says Hamas' presence is part of effort to mediate between the Palestinian factions
      When Palestinian militant group Hamas "
Yasser Arafat Fast Facts,,"
      Here’s a look at the life of the late Yasser Arafat, who was president of the Palestinian Authority.
  "
Narendra Modi to become first Indian Prime Minister to visit Israel,,"Diplomatic relationship between India and Israel dates back to 1992Trip follows major defense deal signed in April 
      Narendra Modi will become the first Indian Prime Minister to visit Israel, in a landmark visit scheduled for July 4.
  "
Israelis on edge before Trump visit,,"Israeli politicians are unsure what Trump's message will be during the visitA changing schedule and shifting locations have made planning difficult
      Only days before President Donald Trump visits Jerusalem, Israeli politicians describe an atmosphere of “nervousness” and “confusion.”
  "
How the Trump White House can fix its communications problem,,"John Kirby: Canceling daily White House press briefings would be a major disservice to AmericansThe briefings are not only vital for the public's sake, they help a White House get its message out to a huge audience, writes Kirby
  "
"Israel demolishes schools for Palestinians, citing lack of permits",,"
      Jana Zawahra sits outside a large tent, sobbing to herself on the ground where her school once stood.
  
      The brand-new building, paid for by the European Union, was constructed just three weeks ago. Now, little more than the concrete floor and an outhouse remain.
  
      “It doesn’t look nice anymore, it’s ugly,” the eight-year-old says, devastated at the loss of her classroom at Jub El-Thib, east of Bethlehem.
  "
Why Israel's courting India's Prime Minister Modi,,"Narendra Modi is set to become the first Indian Prime Minister to visit Israel Analysts say the trip marks India's diplomatic tilt towards Israel
      Only a select few world leaders receive Israel’s grand reception at Ben Gurion International Airport: people like the President of the United States, and the Pope. So it did not go unnoticed that India’s Prime Minister Narendra Modi received the same red carpet treatment.
  "
Iran tests new ballistic missile hours after showing it off at military parade,,"Khorramshahr missile was displayed at a military parade in TehranWeapon reportedly has a range capable of reaching Israel and Saudi Arabia
      Iran unveiled a new ballistic missile Friday as its president stepped up pressure on the United States by defending its right to strengthen military defenses.
  "
This congressional act threatens US national security,,"Nawaf Obaid: The Justice Against Sponsors of Terrorism Act will be devastating for US-Saudi relationsJASTA should be overturned to avoid opening the floodgates of litigation against other nations, writes Obaid
  "
Iran unveils new long-range ballistic missile,,"Khorramshahr missile is displayed at a military parade in TehranWeapon reportedly has a range capable of reaching Israel and Saudi Arabia
      Iran unveiled a new ballistic missile Friday as its president stepped up pressure on the United States by defending its right to strengthen military defenses.
  "
With bricks -- not metal -- Palestinians rebuild school demolished by Israel,,"
      Weeks after Israel toppled several Palestinian schools in the West Bank, some students are back in the classroom after a group of activists reconstructed one of the buildings under the cover of darkness.
  "
Iran unveils new long-range ballistic missile,,"Khorramshahr missile is displayed at a military parade in TehranWeapon reportedly has a range capable of reaching Israel and Saudi Arabia
      Iran unveiled a new ballistic missile Friday as its president stepped up pressure on the United States by defending its right to strengthen military defenses.
  "
Naji al-Ali: UK police reopen case of murdered Palestinian cartoonist,,"
      UK anti-terror police have reopened an investigation into the murder of a famous Palestinian cartoonist 30 years after he was shot dead in central London. 
  
      Naji al-Ali, 51, was shot in the back of the neck as he walked to the offices of the Kuwaiti newspaper where he worked in Knightsbridge on July 22, 1987. He died from his wounds a month later. 
  
      “Mr Al-Ali’s cartoons were sometimes perceived as critical of the regime in Palestine and he had received a number of death threats in the years leading up to his murder,” the Metropolitan Police Counter Terrorism Command said in a statement. 
  "
New York's alleged 'Chelsea bomber' goes on trial Monday,,"Ahmad Khan Rahimi faces charges that include using a weapon of mass destruction He is on trial for a September 2016 bombing in New York City's Chelsea neighborhood 
      The powerful explosion from a homemade "
20 top Middle Eastern foods: Which is the best?,,
US threatens to close Palestinian office in Washington,,"
      The Trump administration put the Palestine Liberation Organization on notice Friday that it will close the group’s office in Washington if the Palestinians don’t get serious about peace talks with Israel, State Department officials said. 
  
      Secretary of State Rex Tillerson has determined the Palestinians have violated a rarely invoked provision in US law that calls for the closure of the Palestine Liberation Organization’s mission if they act against Israel in the International Criminal Court, the officials said. 
  
      The department asserts that Palestinian President Mahmoud Abbas ran afoul of the law in September when he called on the ICC to investigate and prosecute Israel for war crimes against the Palestinians.
  "
Palestinian festival told to cancel film screening amid boycott campaign,,"
      It was supposed to be an evening of celebration, a gala presentation of a movie which won its star, Palestinian Kamel El Basha, the best actor award at the Venice Film Festival last month.
  
      The screening of “The Insult,” at Ramallah’s showcase Cultural Palace, would bring the curtain down on the fourth Palestinian “Days of Cinema” film festival, the biggest and most successful to date.
  
      Instead, the talk now is of censorship and shame, after the festival’s organizers were told by city authorities to pull the film.
  "
Rival Palestinian factions take closer steps toward reconciliation,,"
      Throngs of Gazans cheered as Palestinian Prime Minister Rami Hamdallah entered Gaza on Monday, the first visit he’s made to the coastal strip in two years.
  
      Hamdallah’s arrival marked an important step toward the possible reunification of the Palestinian factions after Hamas violently evicted rival Fatah from Gaza in 2007.
  
      The Prime Minister promised to heal the divisions and improve the lives of Gazans, who have been living under an Israeli-Egyptian imposed blockade and failing infrastructure damaged after several wars with Israel. 
  "
