title,time,content
<h1>Palestinians attend funeral for PA critic Nizar Banat in Hebron</h1>,Published On 25 Jun 2021,"Thousands of Palestinians turned out on Friday in the occupied West Bank city of Hebron to attend the funeral of Nizar Banat, an outspoken critic of the Palestinian Authority (PA), who died in the custody of PA forces on Thursday."
<h1>Palestinians protest against Mahmoud Abbas after activist’s death</h1>,Published On 26 Jun 2021,Angry demonstrators clashed with Palestinian security forces during a third day of protests in the occupied West Bank over the 
<h1>‘Bullets and batons’: Palestinian Authority beats back dissent</h1>,Published On 28 Jun 2021," – The West Bank is on the verge of a serious rebellion against the Palestinian Authority (PA) as it desperately fights for political survival and is determined to cling to power at any cost, a leading Palestinian human rights defender warned."
<h1>Palestinian media rally for protection after assaults by police</h1>,Published On 28 Jun 2021,Dozens of Palestinian journalists rallied outside a United Nations building in Ramallah on Monday to demand press freedom following violent clashes with Palestinian security forces sparked by an activist’s 
"<h1 class=""gallery-header__heading"">Protests continue in Ramallah after activist’s death</h1>",Published On 27 Jun 2021,In Pictures
<h1>Palestinian children feel abandoned amid home demolitions: NGO</h1>,Published On 28 Jun 2021,"Four out of five children in the occupied West Bank and East Jerusalem whose homes have been demolished by Israeli authorities say they have lost faith that anyone can help or protect them and feel “abandoned by the world”, child rights organisation Save the Children has found."
<h1>Demolitions begin in occupied East Jerusalem’s Silwan</h1>,Published On 29 Jun 2021,Violence erupted after the demolition of a Palestinian business by Israeli forces began in the al-Bustan area of the occupied East Jerusalem neighbourhood of Silwan on Tuesday.
<h1>Gaza: 11 Days in May</h1>,Published On 29 Jun 2021,What did 11 days of violence do to the hopes of people in Gaza?
<h1>Thousands of Palestinians swept up in Israeli arrest campaign</h1>,Published On 30 Jun 2021," – Israel continues to carry out a wave of arrests of Palestinians, including children, in an effort to crush Palestinian resistance and political opposition to the occupation."
"<h1>Hezbollah leader, Hamas chief discuss recent Gaza fighting</h1>",Published On 29 Jun 2021,The top leaders of the groups Hezbollah and Hamas held talks in the Lebanese capital Beirut on Tuesday about last month’s 11-day Israeli bombardment of the besieged Gaza Strip.
<h1>Israeli air raids target Gaza for third time since May ceasefire</h1>,Published On 2 Jul 2021,Israel said its fighter jets targeted a weapons manufacturing site in the Gaza Strip overnight on Friday in the latest unrest since a ceasefire ended May’s attacks.
<h1>Activist Nizar Banat’s death ‘unnatural’: Palestinian Authority</h1>,Published On 1 Jul 2021,The Palestinian Authority justice minister and head of the investigation committee into the 
<h1>Rival Palestinian groups clash at protest over activist’s death</h1>,Published On 27 Jun 2021,Rival groups of Palestinians clashed in the occupied West Bank city of Ramallah on Sunday during a fourth day of protests over the 
<h1>Israeli military’s TikTok attempt to make propaganda cool</h1>,Published On 1 Jul 2021,One month before engaging in the 11-day attacks of May that resulted in the 
<h1>Documenting Israeli settlement growth in the occupied West Bank</h1>,Published On 1 Jul 2021,Israeli researcher Dror Etkes has been documenting the construction of illegal settlements and outposts in the occupied West Bank for two decades. He shows Al Jazeera’s Stefanie Dekker how they’ve expanded. Edited by Katya Bohdan.
<h1>Hundreds of Palestinians in West Bank protest against PA’s Abbas</h1>,Published On 3 Jul 2021,"Hundreds of Palestinians have gathered in the occupied West Bank city of Ramallah to demonstrate against President Mahmoud Abbas, hoping to inject new momentum into a protest movement sparked by the "
<h1>A critic’s death turns eyes on the Palestinian Authority</h1>,Published On 2 Jul 2021,"There was an unusual target for protests in the occupied West Bank this week: the Palestinian Authority (PA). Protesters were angry after the death of a well-known critic named Nizar Banat, who was killed following his violent arrest. With elections called off earlier this year and a crackdown on the protests, the demands for accountability in Palestine are growing louder."
<h1>Settlers in occupied West Bank agree to evacuate illegal outpost</h1>,Published On 30 Jun 2021,Israeli settlers who constructed an unapproved outpost near Beita in the occupied West Bank said they have agreed to withdraw from the site.
<h1>Palestinians defy ‘precursor to mass displacements’</h1>,Published On 2 Jul 2021," – Violent confrontations broke out following Friday midday prayers between Israeli police and residents, with a number of Palestinians wounded and arrested."
<h1>Can United Arab List change Israeli politics from within?</h1>,Published On 2 Jul 2021,In view of the political drama surrounding Benjamin Netanyahu’s 
<h1>Israeli army fatally shoots Palestinian man in occupied West Bank</h1>,Published On 3 Jul 2021,"Israel’s army has fatally shot a Palestinian man in the occupied West Bank, the Palestinian health agency said, as local media reported Israeli soldiers and settlers had opened fire in a village south of the city of Nablus."
<h1>Israel arrests Palestinian rights lawyer after anti-Abbas protest</h1>,Published On 4 Jul 2021,"A Palestinian human rights lawyer has been arrested by Israeli forces after taking part in a protest in the occupied West Bank against Palestinian President Mahmoud Abbas, his rights group said."
<h1>Why did Israel raid and wreck a children’s centre in Jenin?</h1>,Published On 5 Jul 2021,"For the past three years, the Brighton Trust, the charity of which I am a trustee, together with activists from the National Education Union in Britain, have been raising funds for Al-Tafawk Children’s Centre in Jenin refugee camp in the occupied West Bank."
"<h1>Canary in the coal mine: Gaza, the Levant, and climate change</h1>",Published On 7 Jul 2021,"Located on the dividing line between the Mediterranean climate to its north and the desert to its south, Gaza was first settled as an oasis by the sea. It was built to take advantage of the coastal groundwater aquifer as well as Wadi Gaza, into which several streams flowed from across the Negev Desert. It benefitted from fertile soils, access to the Mediterranean, and excellent trade links which made it a strategic and economic hub."
<h1>Israeli government fails to extend controversial Citizenship Law</h1>,Published On 6 Jul 2021,"Israel’s new government suffered its first big defeat in parliament, failing to renew a "
"<h1>Jordan, Israel agree to water deal; more West Bank trade</h1>",Published On 8 Jul 2021,"Israel and Jordan reached a deal on Thursday for the Jewish state to sell an unprecedented amount of water to the kingdom, while significantly boosting Jordanian exports to Palestinians in the occupied West Bank."
<h1>Norway: KLP fund divests from firms linked to Israeli settlements</h1>,Published On 5 Jul 2021,"Norway’s largest pension fund announced it has divested assets in 16 companies for their links to Israeli settlements in the occupied West Bank, including telecom equipment giant Motorola."
<h1>Israeli bombardment severely weakened Gaza economy: Report</h1>,Published On 7 Jul 2021,"The socioeconomic situation in the Gaza Strip has been severely weakened as a result of the Israeli offensive in May, a report ("
<h1>The draconian law used by Israel to steal Palestinian land</h1>,Published On 8 Jul 2021,"In early May, more than 50 Jewish families packed their bags and moved to a hilltop in the West Bank in the occupied Palestinian territory."
<h1>Israel demolishes family home of suspected Palestinian attacker</h1>,Published On 8 Jul 2021,Israeli forces have demolished the family home of a Palestinian American man accused of being involved in a shooting that killed an Israeli and wounded two others in the occupied West Bank last May.
<h1>Contentious ‘Jewish state law’ upheld by Israeli court</h1>,Published On 8 Jul 2021,"A controversial law that defines Israel as the nation state of the Jewish people was upheld by the Supreme Court, which rejected claims by opponents that it discriminates against minorities."
<h1>Palestinian community in West Bank demolished for seventh time</h1>,Published On 7 Jul 2021,"Israeli forces demolished the Palestinian Bedouin community of Humsa al-Baqai’a in the Jordan Valley on Wednesday, including living and farming structures provided by the international community."
<h1>Palestine football criticises planned Barcelona game in Jerusalem</h1>,Published On 9 Jul 2021,The Palestinian Football Association (PFA) has criticised a planned exhibition match in Jerusalem involving Spanish side Barcelona.
<h1>Israel says it is targeting Hamas’s cryptocurrency accounts</h1>,Published On 9 Jul 2021,Israel has said it will begin seizing cryptocurrency accounts used by the Palestinian Hamas group to raise money for its armed wing.
<h1>Israel to vote on renewing law that keeps out Palestinian spouses</h1>,Published On 5 Jul 2021,Israel’s parliament is set to vote on Monday on whether to renew a temporary law first enacted in 2003 that bars Palestinian citizens of Israel from extending citizenship or even residency to spouses from the occupied West Bank and Gaza.
<h1>Palestinian prisoner ends 65-day hunger strike after release</h1>,Published On 9 Jul 2021,A Palestinian man held without charge has been released from Israeli custody after a hunger strike that lasted for more than two months.
<h1>Palestinians demand release of jailed MP for daughter’s funeral</h1>,Published On 12 Jul 2021,"Palestinian activists and rights groups have called on Israeli authorities to release Khalida Jarrar, a Palestinian legislator serving a prison term, so that she can attend her daughter’s funeral."
<h1>Why did the PA see Nizar Banat as such a grave threat?</h1>,Published On 13 Jul 2021,"On June 19, Palestinian activist Nizar Banat published on his Facebook page a video about the latest scandal in the West Bank. A few days earlier, it had been revealed that the Palestinian Authority (PA) had agreed to swap a future delivery of Pfizer vaccines for a supply of one million jabs from Israel which were about to expire."
<h1>Palestinian minister withdraws threat to quit over activist death</h1>,Published On 11 Jul 2021,"The Palestinian Authority labour minister who declared he would resign amid protests over the death of an activist in custody will ultimately remain in office, he said on Sunday."
<h1>Israeli settlements amount to ‘war crime’: UN expert</h1>,Published On 9 Jul 2021,"A top UN rights expert has called for Israeli settlements to be classified as war crimes, urging the international community to demand accountability for a practice it has long deemed illegal."
<h1>Hope for fractured Palestinian families as Israel law ends</h1>,Published On 12 Jul 2021, – Thousands of Palestinians living in limbo and fear have been given a glimmer of hope in regard to living legally with their families after the Israeli government recently failed to renew its controversial 
<h1>A pivotal moment for the Palestinian national struggle</h1>,Published On 10 Jul 2021,"As the ceasefire between Israel and Palestinian organisations in the Gaza Strip entered into force in the early hours of May 21, celebrations erupted throughout the Palestinian world. From their towns in Israel and the occupied territories to refugee camps in the surrounding Arab states, Palestinians took to the streets not to express relief at the end of Israel’s latest rampage, but to affirm the recovered unity with which they had sabotaged Israel’s war machine."
<h1>Israeli forces open fire on Palestinians; hundreds wounded</h1>,Published On 9 Jul 2021,"Israeli forces opened fire on hundreds of Palestinian demonstrators who rallied against an illegal outpost in the occupied West Bank on Friday, with more than 370 people wounded including 31 hit by live ammunition."
<h1>Anti-PA rallies put Palestinian leaders on notice</h1>,Published On 13 Jul 2021, – The death of 
<h1>PA security forces are not serving the Palestinian people</h1>,Published On 14 Jul 2021,"On June 24, an activist and outspoken critic of the Palestinian Authority (PA), Nizar Banat, was arrested and "
<h1>Thousands attend funeral of jailed Palestinian MP’s daughter</h1>,Published On 13 Jul 2021,"Thousands of Palestinians marched through Ramallah in the occupied West Bank on Tuesday to bury rights activist Suha Jarrar, 31, as Israel refused to release her mother, legislator Khalida Jarrar, from prison for the funeral."
<h1>Israeli PM wants Gaza foreign aid run through vouchers: Minister</h1>,Published On 13 Jul 2021,"Israel wants foreign aid to Gaza disbursed through a voucher system as a safeguard against donations being diverted to bolster the Palestinian enclave’s Hamas rulers and their arsenal, a government minister said on Tuesday."
<h1>Palestinian artist paints murals on Israeli separation wall</h1>,Published On 13 Jul 2021,“Graffiti is one of the means of resistance in Palestine.” Palestinian artist Taqi Spateen uses Israel’s illegal separation wall as his canvas.
<h1>Palestine runs dry: ‘Our water they steal and sell to us’</h1>,Published On 15 Jul 2021," – As Palestinians suffer through severe water shortages in the searing summer, illegal Israeli settlers nearby enjoy unlimited quantities not only for drinking but to fill swimming pools, irrigate crops, and wash their vehicles."
<h1>Israel and Hamas: Anatomy of a Prisoner Exchange</h1>,Published On 14 Jul 2021,A prisoner exchange involving five years of negotiations through intermediaries on behalf of Hamas and Israel.
<h1>Israeli club calls off match with Barcelona over Jerusalem</h1>,Published On 15 Jul 2021,The owner of Israel’s Beitar Jerusalem football club said on Thursday that he called off a friendly match with international powerhouse Barcelona over its refusal to hold the event in contested Jerusalem.
"<h1>Debt and trauma as Israel destroys Palestinian homes, businesses</h1>",Published On 18 Jul 2021," Hundreds of Palestinian families are struggling to put their lives back together after their homes and businesses were demolished by Israeli authorities, either as collective punishment for operations carried out by relatives against the Israeli occupation or as part of Israel’s plans to change the demographics in occupied territory."
<h1>Made in France: In the Name of War</h1>,Published On 16 Jul 2021,"Shrapnel from Israeli missiles that killed three children in Gaza in 2014 exposes French arms manufacturers, accused of complicity in a French court of law."
<h1>Palestinians condemn ‘raiding’ of Al-Aqsa by Israeli forces</h1>,Published On 18 Jul 2021,"Palestinians have condemned the storming of the Al-Aqsa Mosque compound on Sunday by Israeli police, which then launched tear gas and rubber-coated steel bullets at worshippers at Islam’s third holiest site in occupied East Jerusalem, according to Palestinian media."
<h1>Israel-Palestine conflict looms large as Biden meets Jordan King</h1>,Published On 19 Jul 2021, – The Israel-Palestine conflict is expected to take up much of the discussion between United States President Joe Biden and Jordan’s King Abdullah II when the Jordanian leader 
"<h1 class=""gallery-header__heading"">Israeli police clear Al-Aqsa worshippers for Jewish visitors</h1>",Published On 19 Jul 2021,In Pictures
<h1>Explosion in Gaza market kills one; cause unknown</h1>,Published On 22 Jul 2021,"An explosion in a marketplace has rocked Gaza City, killing at least one person and wounding 10 others, according to Palestinian officials."
"<h1>Israel will ‘act aggressively’ over Ben &amp; Jerry’s ban, PM says</h1>",Published On 20 Jul 2021,Israeli Prime Minister Naftali Bennett told the head of Unilever on Tuesday that Israel will “act aggressively” against Ben & Jerry’s over the subsidiary’s decision to 
<h1>Why it is crucial to keep a spotlight on Israel’s apartheid</h1>,Published On 22 Jul 2021,"In April this year, Human Rights Watch issued a report, titled “A Threshold Crossed”, condemning Israel for “committing the crimes against humanity of apartheid and persecution against Palestinians”."
<h1>Ben &amp; Jerry’s to stop sales in occupied Palestinian territories</h1>,Published On 19 Jul 2021,"Ben & Jerry’s ice cream said Monday it was going to stop selling its ice cream in the Israeli-occupied West Bank and East Jerusalem, saying the sales are “inconsistent with our values”."
<h1>Reluctance and distrust define vaccine attitudes in Gaza</h1>,Published On 23 Jul 2021,"More than five months since the arrival of the first batch of COVID-19 jabs in the Gaza Strip, the vaccine rollout in the besieged coastal enclave has been met with general distrust and, in many cases, outright refusal."
"<h1>Palestinian Authority covering up critic’s death, family says</h1>",Published On 18 Jul 2021,The family of a political activist who 
"<h1>Ex-UN rights chief to lead probe into Israeli, Palestinian abuses</h1>",Published On 22 Jul 2021,"Former United Nations rights chief Navi Pillay will lead the UN’s open-ended inquiry into “systematic” abuses in Israel and the occupied Palestinian territories, it has been announced."
<h1>Dozens of Palestinians hurt in confrontations with Israeli forces</h1>,Published On 23 Jul 2021,"More than 140 Palestinians have been injured in clashes with Israeli troops in the flashpoint village of Beita in the occupied West Bank, medics have said, during protests against an illegal Israeli settlement outpost."
<h1>Palestinian protester shot by Israeli army dies: Ministry</h1>,Published On 24 Jul 2021,"A Palestinian teenager has died after being shot by Israeli soldiers at a protest over illegal Israeli settlements in the occupied West Bank, Palestinian authorities said on Saturday."
<h1>Ben &amp; Jerry’s parent firm Unilever ‘firmly committed’ to Israel</h1>,Published On 22 Jul 2021,"The chief executive of Unilever on Thursday said the global consumer goods giant remains “fully committed” to doing business in Israel, distancing himself from this week’s announcement by the company’s Ben & Jerry’s ice cream brand to stop serving Israeli settlements in the occupied territories of the West Bank and East Jerusalem."
<h1>The Gaza ceasefire is shaky and another war may be coming soon</h1>,Published On 25 Jul 2021,"As soon as the 11-day Israeli war on Gaza ended in May, preparation began in Israel and in the strip for a new confrontation. It was clear from the start that the ceasefire brokered by Egypt was fragile and may not last long. The temporary truce was concluded under pressure from the United States but it did not settle the most triggering issues between the two parties. As a result, conflict between Israel and Hamas could be easily reignited in the near future."
<h1>Can Israel criminalise Ben &amp; Jerry’s ice cream in the US?</h1>,Published On 23 Jul 2021,Ben & Jerry’s 
"<h1>HRW accuses Israel, Palestinians of ‘apparent war crimes’ in Gaza</h1>",Published On 27 Jul 2021,Human Rights Watch has accused the Israeli military of carrying out attacks that “apparently amount to war crimes” during an 
<h1>Israel halves Gaza fishing zone over incendiary balloon fires</h1>,Published On 25 Jul 2021,"Israel has reduced the fishing zone off Gaza by half, defence officials said, after incendiary balloons launched from the Palestinian enclave caused fires in Israel."
<h1>Israeli army kills Palestinian boy in West Bank: Ministry</h1>,Published On 28 Jul 2021,"A Palestinian boy wounded by Israeli army fire in the occupied West Bank has died from his injuries, the Palestinian health ministry has said."
<h1>‘Shocking’: South Africa slams Israel’s AU observer status</h1>,Published On 28 Jul 2021,South Africa’s government says it was “appalled” by the African Union Commission’s decision last week to grant Israel observer status at the African bloc.
<h1>Israeli forces kill Palestinian man in occupied West Bank</h1>,Published On 28 Jul 2021,"A Palestinian man has been killed in Israeli gunfire in the occupied West Bank, the scene of confrontations between protesters and Israeli forces for weeks, Palestinian officials said."
"<h1>Palestinian beaten before death in Israeli custody, family says</h1>",Published On 27 Jul 2021,"The family of a Palestinian man who died in Israeli custody has alleged he was beaten by Israeli forces in the detention centre before his death, citing reports by other detainees and photos released after his death."
<h1>Palestinian Authority’s standing slides amid growing frustration</h1>,Published On 29 Jul 2021," Months before Ghassan’s sixth birthday, he already had his party all planned out; he wanted a policeman costume and a cake shaped like a police cap. That is until a month ago, when his idolisation of the police was shattered."
<h1>Israeli forces kill Palestinian during West Bank funeral protest</h1>,Published On 29 Jul 2021,"Israeli troops shot and killed a Palestinian man in a protest that erupted on Thursday during the funeral of a 12-year-old Palestinian boy shot dead by soldiers a day earlier, the Palestinian health ministry said."
<h1>Israel’s war on (‘anti-Semitic’) ice cream</h1>,Published On 30 Jul 2021,Israel is going through a surrealistic summer meltdown over yummy ice cream.
<h1>Ismail Haniya re-elected as leader of Palestinian group Hamas</h1>,Published On 1 Aug 2021,"Ismail Haniya has been re-elected as leader of the Palestinian group Hamas, officials have said, cementing his control of the organisation which rules the besieged Gaza Strip."
<h1>Israeli forces wound more than 250 Palestinian protesters</h1>,Published On 30 Jul 2021,"About 270 Palestinian protesters have been injured, mostly by tear gas, in confrontations with Israeli troops in the occupied West Bank, the Palestinian Red Crescent said."
<h1>Israeli court adjourns appeal against Sheikh Jarrah expulsions</h1>,Published On 2 Aug 2021,"Israel’s Supreme Court adjourned an appeal from four Palestinian families against their forced expulsion from the Sheikh Jarrah neighbourhood in occupied East Jerusalem, as the families say they have rejected a court proposal for them to stay as “protected tenants” but recognise Israeli ownership."
<h1>Israel Supreme Court to reach verdict on Sheikh Jarrah expulsions</h1>,Published On 2 Aug 2021,Israel’s Supreme Court is expected to reach a decision on a high-profile Sheikh Jarrah case in which four Palestinian families in occupied East Jerusalem are facing imminent expulsion to make way for Jewish settlers.
"<h1>The African Union, Israel and the futility of appeasement</h1>",Published On 4 Aug 2021,"For decades, African countries have supported the Palestinian liberation struggle against Israel, seeing in it parallels with their own anti-colonial movements. Likewise, the African Union has not hesitated to criticise Israeli international law violations and occupation of Palestinian lands."
<h1>Florida may divest from Ben &amp; Jerry’s parent over Israel boycott</h1>,Published On 3 Aug 2021,"Florida won’t put any state money into the parent company of Ben & Jerry’s unless it reverses a decision to stop selling ice cream in the occupied West Bank and contested East Jerusalem, Governor Ron DeSantis said Tuesday."
<h1>The PA was always meant to ‘kill’ the Palestinian cause</h1>,Published On 6 Aug 2021,Outspoken Palestinian Authority (PA) critic Nizar Banat’s June 24 death at the hands of the PA’s security forces sparked weeks of protests and international criticism. This came on the heels of unprecedented protests against the seizure of Palestinian homes by Israeli settlers in East Jerusalem and a brutal Israeli war on Gaza.
<h1>The Israeli legal system: No place for justice</h1>,Published On 5 Aug 2021,The struggle to save the occupied East Jerusalem neighbourhood of Sheikh Jarrah from ethnic cleansing by state-backed Israeli settler organisations continued this week in the Israeli Supreme Court.
<h1>Who’s afraid of Hamas summer camps?</h1>,Published On 2 Aug 2021,"Recently, Lawrence J Haas of the American Foreign Policy Council took to the pages of Newsweek to publicise a dangerous phenomenon: “Western Silence as Gaza Summer Camps Train Future Terrorists”."
<h1>That time an Israeli-Palestinian ice cream feud refused to melt</h1>,Published On 2 Aug 2021,"In one big scoop, American ice cream tycoons Ben & Jerry recently announced they would no longer sell any of their 54 flavours in the Israeli-occupied Palestinian territories. A thousand puns later, the 1,000-calories-a-pint controversy refuses to melt and the cold war continues."
<h1>Israeli troops shoot dead Palestinian in occupied West Bank</h1>,Published On 6 Aug 2021,"Israeli troops have shot dead a Palestinian and injured others during a protest against illegal Israeli settlements in the occupied West Bank, the Palestinian health ministry and medics have said."
<h1>Israel attacks Hamas sites in Gaza in response to fire balloons</h1>,Published On 7 Aug 2021,"Israeli aircraft bombed Hamas sites in the Gaza Strip on Saturday in response to incendiary balloons launched from the Palestinian enclave, Israel’s military said."
<h1>Students in Gaza celebrate passing final exams despite war trauma</h1>,Published On 8 Aug 2021,"Mona Zaqout sat in her living room in the besieged Gaza Strip with her eyes glued to her mobile phone. She was waiting to receive the results of her final school year examinations, known in the region as “Tawjihi”."
"<h1>Saudi Arabia sentences dozens of Palestinians, Jordanians</h1>",Published On 9 Aug 2021,"A court in Saudi Arabia has delivered verdicts against 69 Palestinians and Jordanians, handing jail terms of up to 22 years to some while also acquitting an unspecified number on Sunday."
<h1>Palestinian journalists claim pressure by PA amid crackdown</h1>,Published On 11 Aug 2021," Palestinian journalists in the occupied West Bank are facing increased harassment, arrests and violence from the Palestinian Authority since the "
<h1>Israeli forces attack worshippers at Ibrahimi Mosque in Hebron</h1>,Published On 13 Aug 2021,Israeli security forces used stun grenades to disperse a crowd of Muslim worshippers performing traditional Friday prayers outside the Ibrahimi Mosque in the occupied West Bank city of Hebron.
<h1>Jerusalem wildfires brought under control: Officials</h1>,Published On 18 Aug 2021,"Wildfires in wooded hills near Jerusalem have been contained, the Israeli fire brigade said, after crews waged a three-day battle joined by Palestinian firefighters and the Israeli Air Force."
<h1>Rocket fired at Israel from Gaza; first since May assault</h1>,Published On 16 Aug 2021,"Air raid sirens have sounded in southern Israel after a rocket was fired from the Gaza Strip, the first since Israel’s 11-day assault in May on the Gaza Strip in retaliation for rockets fired by Palestinian groups towards Israel."
<h1>New Israeli plan a ‘dangerous blow to the two-state solution’</h1>,Published On 17 Aug 2021, – The Israeli government is forging ahead with a plan for a massive new Israeli settlement that could destroy the two-state solution and Palestinian hopes for an independent state.
<h1>Four Palestinians shot and killed in Israeli army raid in Jenin</h1>,Published On 16 Aug 2021,At least four Palestinian men have been shot dead during confrontations with the Israeli army in the Jenin refugee camp in the north of the occupied West Bank.
"<h1>Dozens hurt as Israel raids Gaza, fires at Palestinian protesters</h1>",Published On 21 Aug 2021,The Israeli military launched air raids on Gaza following clashes between its soldiers and Palestinian protesters during a demonstration to commemorate the burning of Jerusalem’s Al-Aqsa Mosque 52 years ago.
<h1>Israel approves resumption of Qatar aid to Gaza</h1>,Published On 19 Aug 2021,"Israel says it reached an agreement with Qatar and the United Nations on a mechanism to transfer aid from the Gulf State to the besieged Gaza Strip, boosting prospects for relief in the Palestinian enclave after it was devastated in an Israel-Hamas conflict."
<h1>Hamas hails resumption of Qatari payments to Gaza</h1>,Published On 20 Aug 2021,Hamas welcomed on Friday an agreement reached with Qatar to resume aid payments to thousands of families in the Gaza Strip.
<h1>Palestinians in Gaza pledge to defy Israel to protest at border</h1>,Published On 22 Aug 2021, Palestinian groups in Gaza have pledged to continue protests along the border to pressure Israel to remove its blockade and to allow for the reconstruction of Gaza following the recent 11-day Israeli assault on the coastal enclave.
<h1>Egypt closes Gaza border amid tensions with Hamas</h1>,Published On 23 Aug 2021,"Egypt has closed its main border crossing point with the Gaza Strip amid tensions with the territory’s Hamas rulers, officials have said."
"<h1 class=""gallery-header__heading"">Gaza border clashes wound 41 Palestinians</h1>",Published On 22 Aug 2021,In Pictures
<h1>Israel bombs Hamas sites in Gaza over fire balloons: Military</h1>,Published On 24 Aug 2021,"Israeli warplanes have bombed Hamas sites in Gaza in response to incendiary balloons launched from the Palestinian enclave that caused brush fires in southern Israel, according to its military."
<h1>Israel’s killing of Palestinian children</h1>,Published On 24 Aug 2021," – “Mama, mama where is Muhammad?” an agitated Omar Tamimi, 3, repeatedly asked his mother."
<h1>AIPAC accused of Islamophobia after attacks on Ilhan Omar</h1>,Published On 12 Aug 2021,The American Israel Public Affairs Committee (AIPAC) is facing accusations of Islamophobia and incitement after doubling down on attacks against Muslim-American congresswomen 
"<h1>Israeli attack on Gaza Strip ‘apparently broke the law’, HRW says</h1>",Published On 23 Aug 2021,"Israeli air raids that demolished four high-rise buildings in the besieged Gaza Strip during its assault on the enclave in May apparently violated international laws of war, a leading international human rights group said Monday, calling on the Israeli military to produce evidence justifying the attacks."
"<h1>4,000 Gaza students displaced after Israel attacks</h1>",Published On 20 Aug 2021,"While children around the world check their school supplies list and prepare to attend classes, 4,000 Palestinian students are caught up in uncertainty."
<h1>Israeli troops kill Palestinian teenager in occupied West Bank</h1>,Published On 24 Aug 2021,A 15-year-old Palestinian has been killed by Israeli gunfire in the occupied West Bank as Israeli forces stormed a refugee camp near Nablus.
"<h1>UN, EU condemn Palestinian Authority over activist arrests</h1>",Published On 24 Aug 2021,"The UN and the EU have expressed concern over a spate of arrests of activists by Palestinian security forces, as the death of a leading campaigner in custody sparked persistent protests."
<h1>Israel ‘quietly’ allows Jews to pray in Al-Aqsa compound: Report</h1>,Published On 24 Aug 2021,"The Israeli government is allowing Jews to conduct prayers at the Al-Aqsa Mosque compound in occupied East Jerusalem – also known to Jews as the Temple Mount – in a move that risks shifting the site’s status quo, The New York Times reported."
<h1>Israeli leader to meet with Biden as tensions grow in Middle East</h1>,Published On 25 Aug 2021,"Israeli Prime Minister Naftali Bennett’s meeting with President Joe Biden comes as tensions rise with its regional arch enemy, Iran, and as Israel renews its bombardment of the besieged Gaza Strip amid Palestinian protests."
<h1>Palestinian shot by Israeli army in Gaza Strip dies</h1>,Published On 25 Aug 2021,"A Palestinian man has died of injuries sustained during weekend confrontations with Israeli forces on the fence that separates Gaza from Israel, the besieged strip’s health ministry says ahead of fresh protests called for Wednesday."
"<h1>After decade of Bibi, how will Bennett approach first US visit?</h1>",Published On 25 Aug 2021,"Israeli Prime Minister Naftali Bennett, just two months on the job, will meet with United States President Joe Biden in a visit in which both are expected to attempt to reset relations between Israeli leadership and Biden’s Democratic Party."
<h1>Palestinians in Gaza resume protests against Israeli blockade</h1>,Published On 25 Aug 2021,"Hundreds of Palestinians have demonstrated near the Israeli fence in the besieged Gaza Strip, calling on Israel to ease a crippling blockade days after a similar weekend gathering ended in deadly confrontations with the Israeli army."
<h1>Palestinian boy dies after being shot by Israeli forces in Gaza</h1>,Published On 28 Aug 2021,A 12-year-old Palestinian boy who was shot in the head by Israeli forces during a 
<h1>Egypt partially reopens Rafah border crossing with Gaza</h1>,Published On 26 Aug 2021,"Egypt says it has partially reopened the Rafah border crossing with the Gaza Strip, allowing one-way traffic into the besieged Palestinian enclave, as Israel eases import restrictions for the territory it has blockaded since 2007."
<h1>Bennett ‘happy’ as Biden touts ‘other options’ against Iran</h1>,Published On 27 Aug 2021,"The US remains committed to preventing Iran from obtaining nuclear weapons, President Joe Biden said in a White House meeting with Israeli Prime Minister Naftali Bennett, touting “other options” if diplomacy with Tehran fails."
<h1>Six Palestinians escape from high-security prison in Israel</h1>,Published On 6 Sep 2021,Israeli forces have been searching for six Palestinian prisoners who managed to escape from a high-security facility in northern Israel early on Monday.
<h1>Israel bombs Hamas sites in Gaza after protests</h1>,Published On 29 Aug 2021,The Israeli military says its aircraft struck Hamas sites in Gaza early in response to incendiary balloons launched from the besieged Palestinian enclave as a recent rise in violence tests a fragile truce that ended a deadly assault on Gaza in May.
"<h1 class=""gallery-header__heading"">Palestinians in Gaza protest against Israel’s crippling blockade</h1>",Published On 26 Aug 2021,In Pictures
<h1>Palestine: An open-air museum of colonialism</h1>,Published On 7 Sep 2021,"On a recent visit to Palestine (I belong to a category of Jordanian Palestinians who can visit Palestine using an Israeli-issued ID card), a Palestinian friend of mine in Ramallah invited me to drive with him to Bethlehem. Thirty minutes into the trip, we stopped at an Israeli checkpoint, pulling into a huge queue of cars. The place was engulfed by an apathetic silence, perhaps indicative of how normal the situation was for those experiencing it. I, however, felt increasingly impatient, and I asked my friend if it would take too long before we were allowed to move. My friend responded, rather sarcastically, “This is Palestine. You can never predict when to move or to stop. People have lost any sense of what a meeting time means. You arrive when you arrive.”"
"<h1>Palestinian president, Israeli defence minister hold rare talks</h1>",Published On 30 Aug 2021,"Israel’s defence minister has announced a series of gestures aimed at strengthening the Palestinian Authority, including plans to loan $150m to the cash-strapped autonomy government in the occupied West Bank."
